"year","player_id","total_points","total_won"
2001,102563,10392,5344
2001,102567,4057,2004
2001,102610,7434,3751
2001,102615,633,301
2001,102642,2064,1001
2001,102667,119,52
2001,102694,5419,2665
2001,102703,4321,2083
2001,102720,1799,843
2001,102730,2328,1115
2001,102770,667,267
2001,102780,140,65
2001,102783,10336,5203
2001,102785,949,472
2001,102788,2647,1309
2001,102800,873,416
2001,102811,139,64
2001,102821,4833,2359
2001,102834,1999,954
2001,102839,7798,3946
2001,102845,9562,4880
2001,102851,175,81
2001,102854,10319,5254
2001,102856,12042,6350
2001,102860,4606,2337
2001,102863,866,437
2001,102869,6632,3241
2001,102880,1950,926
2001,102882,3581,1866
2001,102886,55,26
2001,102887,2365,1153
2001,102904,413,192
2001,102905,6489,3190
2001,102925,2391,1130
2001,102950,7979,3945
2001,102956,95,40
2001,102965,1594,747
2001,102987,3963,1938
2001,102998,8694,4438
2001,102999,396,188
2001,103007,142,63
2001,103017,8024,4014
2001,103018,8933,4485
2001,103029,81,27
2001,103060,133,63
2001,103063,141,57
2001,103066,136,61
2001,103084,11428,5997
2001,103096,10157,5170
2001,103103,9798,4919
2001,103105,242,117
2001,103114,2865,1397
2001,103133,334,164
2001,103151,5939,2960
2001,103153,986,505
2001,103157,1089,527
2001,103163,10993,5778
2001,103166,5687,2728
2001,103171,3288,1630
2001,103174,1134,556
2001,103176,4840,2370
2001,103181,5616,2718
2001,103182,4799,2347
2001,103184,2132,1014
2001,103185,467,216
2001,103188,4243,2032
2001,103193,3359,1684
2001,103198,NA,NA
2001,103201,122,53
2001,103204,1431,710
2001,103206,11731,6119
2001,103240,492,237
2001,103248,6048,2972
2001,103252,9266,4667
2001,103254,175,102
2001,103264,2376,1106
2001,103280,164,80
2001,103285,484,239
2001,103290,175,79
2001,103292,7460,3717
2001,103294,5560,2683
2001,103305,1719,773
2001,103319,156,75
2001,103333,264,123
2001,103344,8349,4247
2001,103356,7824,3953
2001,103387,4121,2021
2001,103393,404,187
2001,103403,601,282
2001,103420,5838,2889
2001,103428,3480,1794
2001,103444,1119,532
2001,103451,945,431
2001,103454,7726,3737
2001,103484,2909,1491
2001,103487,2291,1091
2001,103498,11814,6070
2001,103507,12511,6639
2001,103530,118,50
2001,103553,302,127
2001,103566,3058,1488
2001,103580,467,224
2001,103581,1161,612
2001,103594,420,208
2001,103598,8616,4476
2001,103600,NA,NA
2001,103602,2335,1104
2001,103632,577,277
2001,103656,3317,1725
2001,103672,435,213
2001,103694,4726,2279
2001,103709,3201,1601
2001,103714,8693,4280
2001,103720,14359,7696
2001,103754,196,88
2001,103758,3492,1747
2001,103781,210,103
2001,103786,3585,1731
2001,103789,1859,918
2001,103813,915,472
2001,103817,99,36
2001,103819,11666,6053
2001,103821,371,189
2001,103835,359,169
2001,103852,1197,568
2001,103863,128,55
2001,103888,2325,1138
2001,103898,288,145
2001,103900,3798,1998
2001,103908,662,325
2001,103909,6470,3343
2001,103914,84,30
2001,103917,926,436
2001,103990,9092,4661
2001,103997,NA,NA
2001,103999,122,52
2001,104014,523,241
2001,104022,6416,3213
2001,104026,263,117
2001,104043,1048,533
2001,104053,8843,4663
2001,104068,1325,643
2001,104076,3070,1475
2001,104082,237,114
2001,104098,549,276
2001,104117,NA,NA
2001,104166,217,98
2001,104180,NA,NA
2001,104196,196,93
2001,104229,NA,NA
2001,104268,NA,NA
2001,104339,NA,NA
2001,104386,NA,NA
2001,104417,239,119
2001,104499,NA,NA
2001,200003,NA,NA
2001,200008,NA,NA
2001,200009,NA,NA
2001,200011,NA,NA
2001,200033,NA,NA
2001,200043,NA,NA
2001,200056,NA,NA
2001,200060,NA,NA
2001,200067,NA,NA
2001,200069,NA,NA
2001,200079,NA,NA
2001,200104,NA,NA
2001,200108,NA,NA
2001,200120,NA,NA
2001,200121,NA,NA
2001,200748,NA,NA
2001,200754,NA,NA
2001,200764,NA,NA
2001,200772,NA,NA
2001,200773,NA,NA
2001,201086,NA,NA
2001,201212,NA,NA
2001,201281,NA,NA
2001,201284,NA,NA
2001,201286,NA,NA
2001,201287,NA,NA
2001,201290,NA,NA
2001,201291,NA,NA
2001,201292,NA,NA
2001,201293,NA,NA
2001,201294,NA,NA
2001,201300,NA,NA
2001,201301,NA,NA
2001,201302,NA,NA
2001,201303,NA,NA
2001,201304,NA,NA
2001,201305,NA,NA
2001,201307,NA,NA
2001,201308,NA,NA
