"player_id","year","bp","bp_converted"
103333,"2010",12,1
103333,"2004",NA,NA
103339,"2007",8,4
103339,"1998",9,1
103339,"2004",3,2
103339,"2006",30,12
103344,"2010",210,82
103344,"2003",NA,NA
103344,"2004",NA,NA
103344,"2009",317,111
103344,"2005",NA,NA
103344,"2012",29,11
103344,"2001",NA,NA
103344,"2006",86,19
103344,"1999",95,40
103344,"2008",95,43
103344,"1998",NA,NA
103344,"2007",NA,NA
103344,"1997",28,11
103344,"1996",7,3
103344,"2011",252,107
103344,"2002",NA,NA
103344,"2000",NA,NA
103356,"2003",NA,NA
103356,"2000",59,22
103356,"2007",4,0
103356,"2004",50,12
103356,"2001",220,121
103356,"2002",NA,NA
103369,"2006",12,4
103369,"2005",15,8
103369,"2004",12,4
103373,"2005",13,3
103373,"2006",75,36
103373,"2000",21,5
103373,"2008",205,65
103373,"2009",30,13
103373,"2007",NA,NA
103373,"2003",36,14
103385,"2005",2,0
103385,"2000",3,2
103385,"2003",11,2
103385,"2004",8,1
103385,"2007",2,1
103393,"2004",8,7
103393,"2001",12,4
103393,"2005",2,1
103393,"2006",22,6
103393,"2011",4,2
103393,"2009",NA,NA
103393,"2008",NA,NA
