"player_id","year","aces","serves"
103017,"2006",156,2035
103017,"2008",280,2867
103017,"2005",396,4019
103017,"2003",233,2548
103017,"1998",367,4824
103017,"1996",80,894
103017,"2010",45,320
103017,"2007",205,2063
103017,"1994",0,0
103017,"1997",333,3319
103017,"2001",339,4062
103017,"1999",465,5621
103017,"2000",285,3579
103017,"1995",28,417
103017,"2004",379,4082
103017,"2002",275,3249
103018,"1995",NA,NA
103018,"2006",438,3804
103018,"2002",445,3897
103018,"2008",54,463
103018,"2007",198,2285
103018,"2000",454,4005
103018,"1997",25,221
103018,"1998",13,184
103018,"2001",490,4434
103018,"2003",542,4701
103018,"2004",498,3724
103018,"1999",220,2328
103018,"2005",666,4380
103018,"1996",9,153
103029,"1997",1,41
103029,"2003",2,100
103029,"1996",NA,NA
103029,"1994",0,49
103029,"1995",0,48
103029,"1993",NA,NA
103029,"2001",0,43
103029,"2000",0,78
103029,"2005",0,53
103029,"2006",3,149
