"player_id","year","second_return","second_won"
102950,"1996",150,69
102950,"2001",1421,629
102950,"2000",NA,NA
102950,"1998",632,287
102950,"2009",10,2
102950,"1999",638,342
102950,"2008",24,13
102950,"2002",1505,667
102950,"2004",245,108
102956,"2001",16,5
102956,"2000",12,5
102956,"2004",11,4
102956,"1998",14,6
102956,"1996",28,9
102956,"1999",NA,NA
102956,"2007",19,9
102956,"1995",NA,NA
102956,"2006",22,4
102956,"2002",14,3
102965,"2006",38,15
102965,"2003",83,39
102965,"1999",96,45
102965,"2001",276,106
102965,"2000",102,50
102965,"2004",64,24
102965,"2005",73,27
102965,"1997",NA,NA
102965,"2002",NA,NA
102967,"2006",879,392
102967,"2010",472,196
102967,"2013",109,45
102967,"2012",21,13
102967,"2004",96,44
102967,"2011",110,41
102967,"2014",82,43
102967,"2009",1323,579
102967,"2005",114,66
102967,"2008",1310,546
102967,"2002",44,13
102967,"2007",1302,563
102985,"2004",26,11
102985,"2006",71,31
102987,"2000",404,219
102987,"2001",761,361
102987,"2007",33,15
102987,"1999",164,73
102987,"2004",24,5
102987,"1997",31,11
102987,"2003",106,47
102987,"2005",19,8
102987,"2002",NA,NA
102987,"1998",183,73
102987,"2006",9,2
102998,"2003",NA,NA
102998,"2002",922,454
102998,"2005",459,167
102998,"2006",53,25
102998,"1999",1449,661
102998,"1997",233,96
102998,"2000",1013,464
102998,"2007",55,16
102998,"2001",NA,NA
102998,"1998",NA,NA
102998,"2004",1165,487
102998,"1995",24,9
102999,"2006",429,196
102999,"2008",78,38
102999,"2010",42,17
102999,"2001",80,33
102999,"2007",252,107
102999,"2003",86,28
102999,"2002",NA,NA
102999,"2011",54,24
103009,"1993",NA,NA
103009,"1995",34,18
103009,"2004",NA,NA
103009,"2005",373,161
103009,"2006",70,35
103009,"2003",NA,NA
103009,"1997",119,46
103009,"2002",21,10
103009,"1999",23,10
103009,"2000",37,19
103009,"1998",31,13
103009,"1994",NA,NA
103009,"1996",62,23
103032,"2005",87,39
103035,"2005",254,121
103035,"2007",125,69
103035,"2010",67,26
103035,"2003",27,13
103035,"2004",91,39
103035,"2006",573,241
103063,"2005",148,59
103063,"2001",36,10
103063,"2002",111,42
103063,"2009",331,152
103063,"2006",21,8
103063,"2007",55,25
103063,"2004",201,83
103063,"2008",24,8
103076,"2008",30,11
103084,"2000",385,147
103084,"1997",116,44
103084,"2002",738,277
103084,"2007",555,212
103084,"2003",242,113
103084,"1996",97,32
103084,"1999",NA,NA
103084,"2004",1111,576
103084,"2001",2260,1081
103084,"2005",324,132
103084,"2009",498,222
103084,"1998",482,199
103084,"2008",NA,NA
103096,"1999",1500,718
103096,"2011",161,86
103096,"2008",542,195
103096,"2007",757,298
103096,"2005",549,226
103096,"1997",251,110
103096,"2002",NA,NA
103096,"2012",166,82
103096,"2003",970,493
103096,"2010",683,280
103096,"2001",NA,NA
103096,"2006",775,414
103096,"2009",844,390
103096,"1998",1004,428
103096,"2004",NA,NA
103096,"2000",NA,NA
103104,"2003",40,17
103104,"1996",12,2
103104,"2006",85,34
103104,"2002",34,15
103104,"2009",29,8
103104,"2007",27,8
103104,"2008",85,39
103104,"2004",NA,NA
103105,"2008",173,74
103105,"2013",176,71
103105,"2003",449,200
103105,"2009",387,186
103105,"2014",66,27
103105,"2004",511,174
103105,"2011",567,252
103105,"2005",191,87
103105,"2007",NA,NA
103105,"2001",48,22
103105,"2006",650,329
103105,"2002",72,28
103105,"2010",120,41
103105,"2012",409,174
103110,"2005",NA,NA
103110,"2010",NA,NA
103110,"2006",638,247
103110,"2007",144,69
103110,"1998",170,78
103110,"1995",21,9
103110,"2011",NA,NA
103110,"2004",115,45
103114,"2006",72,32
103114,"1997",179,75
103114,"2000",179,73
103114,"1999",111,40
103114,"1998",125,48
103114,"1996",33,20
103114,"2003",32,13
103114,"2001",269,100
103114,"2002",119,56
103133,"1998",75,32
103133,"2001",84,36
103133,"1996",32,8
103133,"2003",908,387
103133,"2005",99,44
103133,"2002",18,5
103133,"1995",76,37
103133,"2004",579,266
103133,"1997",36,21
103151,"1995",110,52
103151,"2005",964,434
103151,"1996",448,228
103151,"1999",823,393
103151,"1998",756,362
103151,"2002",653,305
103151,"2001",569,219
103151,"2007",NA,NA
103151,"2003",NA,NA
103151,"2004",626,318
103151,"2006",316,111
103151,"2008",58,22
103151,"1997",168,64
103151,"2000",NA,NA
103153,"2001",221,104
103153,"2006",NA,NA
103153,"2003",170,63
103153,"2005",133,52
103153,"2002",67,25
103153,"2004",NA,NA
103157,"2000",138,64
103157,"2002",NA,NA
103157,"1999",85,36
103157,"2004",24,12
103157,"2006",NA,NA
103157,"2003",151,50
103157,"2001",216,78
103163,"1998",685,264
103163,"1997",1090,485
103163,"2006",NA,NA
103163,"2013",1278,572
103163,"2010",249,120
103163,"2001",NA,NA
103163,"2002",NA,NA
103163,"2004",NA,NA
103163,"2008",548,256
103163,"1996",202,99
103163,"2005",NA,NA
103163,"2015",323,116
103163,"2000",NA,NA
103163,"2009",1053,481
103163,"2014",630,291
103163,"1999",NA,NA
103163,"2017",550,215
103163,"2011",538,245
103163,"2012",845,420
103163,"2007",NA,NA
103165,"2005",23,11
103165,"2012",15,8
103165,"2006",96,42
103165,"2007",NA,NA
103165,"2002",60,25
103169,"2003",288,139
103169,"2007",NA,NA
103169,"2008",1113,519
103169,"2005",540,221
103169,"2009",1017,452
103169,"2004",654,278
103169,"2006",220,90
103169,"2010",340,120
103171,"2000",515,225
103171,"2008",22,8
103171,"2009",113,53
103171,"1998",139,58
103171,"2004",515,228
103171,"1996",27,9
103171,"2001",NA,NA
103171,"2002",NA,NA
103171,"2006",249,105
103171,"1999",93,37
103171,"2003",NA,NA
103171,"2005",124,57
103171,"2007",NA,NA
103175,"2006",NA,NA
103175,"2007",26,8
103175,"2005",41,16
103176,"2004",728,322
103176,"2002",643,259
103176,"2000",217,99
103176,"1997",38,17
103176,"1999",14,7
103176,"1998",28,10
103176,"2005",664,298
103176,"2001",899,426
103176,"2003",710,373
103181,"2007",500,207
103181,"2003",377,149
103181,"2008",259,130
103181,"2004",316,140
103181,"2001",1079,464
103181,"2005",726,303
103181,"2006",723,320
103181,"2000",NA,NA
103181,"1995",59,34
103181,"2002",108,40
103181,"2009",46,9
103182,"1997",57,24
103182,"1999",447,193
103182,"2002",NA,NA
103182,"2001",485,185
103182,"1995",22,7
103182,"2000",NA,NA
103182,"2003",194,76
103182,"2005",30,16
103182,"1998",79,33
103182,"1996",20,8
103182,"1994",3,0
103184,"2002",119,46
103184,"2004",22,8
103184,"2003",215,85
103184,"1999",156,66
103184,"2009",NA,NA
103184,"2008",NA,NA
103184,"2000",311,119
103184,"2006",14,4
103184,"2007",NA,NA
103184,"1997",15,5
103184,"1998",220,102
103184,"2005",NA,NA
103184,"2001",156,63
103185,"2002",65,29
103185,"2003",63,28
103185,"2007",20,4
103185,"2008",NA,NA
103185,"1997",25,8
103185,"2001",84,29
103185,"2000",110,51
103188,"2000",248,100
103188,"2003",63,28
103188,"2011",787,335
103188,"2012",569,247
103188,"2002",531,225
103188,"2010",942,437
103188,"2014",524,236
103188,"2001",826,359
103188,"1998",74,25
103188,"2015",54,21
103188,"2007",729,313
103188,"2009",188,96
103188,"2013",648,293
103188,"2006",65,32
103188,"2008",209,92
103193,"2003",16,6
103193,"2004",41,19
103193,"1998",87,31
103193,"2001",649,259
103193,"1997",38,10
103193,"2000",172,63
103193,"1996",58,22
103193,"2007",156,70
103193,"1999",862,356
103193,"2005",NA,NA
103193,"2006",20,9
103201,"2001",19,6
103201,"2007",78,26
103201,"2000",36,14
103201,"2005",NA,NA
103201,"2008",34,9
103201,"2004",210,81
103201,"2006",NA,NA
103201,"2003",11,5
103204,"2008",58,30
103204,"2001",268,112
103204,"2003",129,67
103204,"2004",170,77
103204,"2005",169,65
103204,"2007",86,43
103204,"2002",49,21
103204,"2006",89,41
103204,"2000",57,29
103206,"2003",NA,NA
103206,"2010",128,47
103206,"1998",1124,515
103206,"2001",NA,NA
103206,"1999",NA,NA
103206,"2007",585,252
103206,"2009",155,68
103206,"2006",674,292
103206,"2002",NA,NA
103206,"2000",NA,NA
103206,"2008",668,289
103206,"2004",NA,NA
103206,"1997",186,77
103206,"2005",913,446
103209,"2006",84,33
103228,"2006",565,239
103228,"2009",NA,NA
103228,"2004",NA,NA
103228,"2005",58,20
103228,"2011",45,15
103228,"2003",118,46
103228,"2008",380,137
103228,"2002",20,5
103228,"2007",28,11
103228,"2010",242,106
103230,"2005",21,7
103230,"2003",36,19
103230,"2004",27,10
103238,"2003",62,24
103238,"2004",36,10
103238,"2008",47,20
103238,"2007",28,11
103240,"2000",186,78
103240,"2007",489,210
103240,"2005",1270,557
103240,"2002",107,49
103240,"1999",42,12
103240,"2003",49,21
103240,"2008",104,46
103240,"2001",109,37
103240,"2004",124,56
103240,"1996",34,10
103240,"2010",77,23
103240,"2009",588,242
103240,"2006",597,270
103248,"2002",277,98
103248,"1999",NA,NA
103248,"2007",31,15
103248,"2009",NA,NA
103248,"2010",10,7
103248,"2003",NA,NA
