"player_id","year","returns","returns_won"
104068,"2012",516,190
104091,"2008",315,109
104149,"2008",162,52
104166,"2001",NA,NA
104166,"2003",1015,379
104166,"2012",NA,NA
104166,"2011",3876,1498
104166,"2009",351,127
104166,"2005",NA,NA
104166,"2008",NA,NA
104166,"2004",1872,694
104166,"2013",NA,NA
104166,"2006",380,132
104166,"2010",NA,NA
104166,"2014",547,206
104166,"2002",268,106
104167,"2009",374,125
104167,"2004",NA,NA
104167,"2005",167,60
104167,"2006",154,59
104173,"2006",214,80
104173,"2007",199,59
104173,"2008",740,267
104196,"2001",102,38
104196,"2002",NA,NA
104196,"2006",354,133
104198,"2014",4245,1673
104198,"2009",4081,1605
104198,"2008",NA,NA
104198,"2013",NA,NA
104198,"2016",4191,1526
104198,"2010",4250,1607
104198,"2017",1481,529
104198,"2004",887,343
104198,"2018",3414,1253
104198,"2011",4006,1508
104198,"2005",3346,1312
104198,"2019",1046,328
104198,"2007",3014,1137
104198,"2006",2868,1093
104198,"2015",NA,NA
104198,"2012",3607,1354
104198,"2003",NA,NA
104216,"2009",NA,NA
104216,"2013",225,89
104216,"2015",NA,NA
104216,"2008",739,285
104216,"2014",613,234
104216,"2016",547,211
104216,"2011",1260,445
104216,"2012",NA,NA
104216,"2010",968,358
104216,"2007",NA,NA
104216,"2017",187,77
104224,"2005",166,50
104224,"2006",120,34
104230,"2008",218,80
104230,"2009",2191,797
104230,"2007",153,72
104230,"2003",NA,NA
104230,"2005",278,101
104230,"2010",NA,NA
104230,"2004",274,122
104256,"2012",134,37
104262,"2006",NA,NA
104262,"2011",1145,429
104262,"2012",2909,1201
104262,"2009",NA,NA
104262,"2010",NA,NA
104262,"2008",1194,489
104262,"2013",614,222
104262,"2007",184,77
104269,"2022",1328,474
104269,"2017",4423,1725
104269,"2002",191,77
104269,"2007",NA,NA
104269,"2008",NA,NA
104269,"2015",4417,1554
104269,"2014",4046,1504
104269,"2004",3973,1465
104269,"2019",4372,1600
104269,"2016",4334,1635
104269,"2020",1031,384
104269,"2023",NA,NA
104269,"2005",NA,NA
104269,"2012",4166,1581
104269,"2010",NA,NA
104269,"2011",NA,NA
104269,"2018",5231,2037
104269,"2006",NA,NA
104269,"2021",718,250
104269,"2013",NA,NA
104269,"2003",NA,NA
104269,"2009",NA,NA
104273,"2011",1516,568
104273,"2009",392,137
104273,"2007",1109,409
104273,"2013",4108,1516
104273,"2010",730,256
104273,"2008",444,133
104273,"2004",200,61
104273,"2012",3007,1097
104273,"2015",1506,539
104273,"2014",3637,1254
104273,"2016",447,164
104291,"2017",3011,1090
104291,"2011",NA,NA
104291,"2023",NA,NA
104291,"2015",2528,874
104291,"2019",1626,563
104291,"2022",249,74
104291,"2012",1359,459
104291,"2003",NA,NA
104291,"2004",NA,NA
104291,"2021",335,125
104291,"2014",1214,400
104291,"2016",3383,1163
104291,"2013",NA,NA
104291,"2020",NA,NA
104291,"2018",3431,1245
104291,"2008",NA,NA
104314,"2009",1129,396
104314,"2011",738,247
104314,"2008",604,236
104314,"2010",605,210
104330,"2012",1081,365
104330,"2016",NA,NA
104330,"2009",1108,369
104330,"2006",NA,NA
104330,"2004",313,90
104330,"2005",348,118
104330,"2003",94,38
104330,"2011",320,104
104330,"2013",1234,427
104330,"2007",236,82
104330,"2008",352,124
104330,"2002",NA,NA
104330,"2010",1741,515
104330,"2017",292,99
104330,"2014",727,236
104330,"2015",1122,353
104332,"2007",NA,NA
104332,"2009",3308,1110
104332,"2012",NA,NA
104332,"2014",256,84
104332,"2013",570,208
104332,"2008",1634,610
104332,"2003",346,108
104332,"2011",NA,NA
104332,"2010",3158,1140
104332,"2005",NA,NA
104332,"2004",131,47
104460,"2013",621,219
104460,"2011",1138,382
104460,"2015",NA,NA
104460,"2003",NA,NA
104460,"2017",2121,664
104460,"2018",NA,NA
104460,"2016",2061,738
104460,"2019",293,90
104460,"2014",2095,716
104460,"2010",1317,420
104460,"2021",NA,NA
104460,"2012",813,251
104515,"2008",259,102
104515,"2007",462,172
104515,"2009",156,64
104515,"2006",208,89
104547,"2016",1374,402
104547,"2009",816,268
104547,"2012",927,318
104547,"2015",429,143
104547,"2014",1021,315
104547,"2018",2022,647
104547,"2017",3357,1088
104547,"2013",NA,NA
104547,"2011",839,284
104547,"2010",NA,NA
104548,"2012",2135,801
104548,"2004",574,195
104548,"2002",NA,NA
104548,"2016",1015,308
104548,"2005",503,166
104548,"2013",655,255
104548,"2003",NA,NA
104593,"2012",1468,506
104593,"2015",2382,863
104593,"2016",1289,458
104593,"2009",2154,744
