"","player_id","year","first_serve","first_won"
"1367",102821,"1997",106,77
"1368",102821,"2011",NA,NA
"1369",102821,"2000",210,166
"1370",102821,"2004",35,29
"1371",102821,"2001",943,608
"1372",102821,"2003",117,75
"1373",102821,"2005",93,64
"1374",102821,"2005",29,25
"1375",102821,"1996",152,91
"1376",102821,"2004",106,69
"1377",102821,"1999",883,553
"1378",102821,"1998",48,34
"1379",102821,"2009",NA,NA
"1380",102821,"2002",412,303
"1381",102821,"2001",512,375
"1382",102821,"1997",335,222
"1383",102821,"2003",622,384
"1384",102821,"2002",719,447
"1385",102821,"2007",NA,NA
"1386",102821,"2010",NA,NA
"1387",102826,"1995",NA,NA
"1388",102826,"1993",NA,NA
"1389",102826,"1998",NA,NA
"1390",102826,"1994",NA,NA
"1391",102826,"1999",NA,NA
"1392",102826,"2009",NA,NA
"1393",102826,"2004",NA,NA
"1394",102830,"2003",NA,NA
"1395",102830,"2004",NA,NA
"1396",102830,"2000",NA,NA
"1397",102830,"2001",NA,NA
"1398",102830,"1999",NA,NA
"1399",102830,"2010",NA,NA
"1400",102834,"2007",455,313
"1401",102834,"2005",551,381
"1402",102834,"2002",140,84
"1403",102834,"1996",57,39
"1404",102834,"2004",322,212
"1405",102834,"2006",853,531
"1406",102834,"2001",413,230
"1407",102834,"1995",52,35
"1408",102834,"2007",568,338
"1409",102834,"2003",143,107
"1410",102834,"2001",203,138
"1411",102834,"2005",618,401
"1412",102834,"2002",69,55
"1413",102834,"1998",98,74
"1414",102834,"1994",NA,NA
"1415",102834,"1999",793,545
"1416",102834,"1998",163,115
"1417",102834,"2000",1103,676
"1418",102834,"2003",246,142
"1419",102834,"2006",663,461
"1420",102834,"1999",919,555
"1421",102834,"1993",62,34
"1422",102834,"2000",995,685
"1423",102834,"2004",223,155
"1428",102839,"2009",NA,NA
"1430",102839,"2006",NA,NA
"1431",102839,"2006",640,479
"1432",102839,"2002",1292,891
"1438",102839,"2001",NA,NA
"1445",102839,"2008",NA,NA
"1450",102843,"2003",NA,NA
"1454",102843,"2006",NA,NA
"1462",102845,"2010",NA,NA
"1482",102845,"1998",NA,NA
"1484",102845,"2007",1320,875
"1500",102851,"2002",NA,NA
"1501",102854,"2004",NA,NA
"1503",102854,"2003",NA,NA
"1504",102854,"2000",NA,NA
"1508",102854,"2001",NA,NA
"1510",102854,"1994",94,61
"1514",102854,"1997",NA,NA
"1516",102854,"1995",698,449
"1517",102854,"2002",NA,NA
"1518",102856,"2007",NA,NA
"1523",102856,"2004",NA,NA
"1524",102856,"2001",NA,NA
"1527",102856,"1999",NA,NA
"1530",102856,"2000",NA,NA
"1537",102860,"2007",964,765
"1544",102860,"1999",125,93
"1547",102860,"2002",914,697
"1550",102860,"2003",NA,NA
"1552",102863,"2008",49,37
"1553",102863,"1997",51,30
"1558",102863,"1995",72,46
"1559",102863,"1996",NA,NA
"1562",102863,"2005",NA,NA
"1566",102863,"2009",NA,NA
"1567",102863,"2000",56,43
"1568",102863,"1995",NA,NA
"1569",102863,"2006",68,50
"1570",102863,"2007",NA,NA
"1571",102863,"1998",NA,NA
"1572",102863,"1996",42,24
"1575",102864,"2003",53,42
"1580",102869,"1998",1086,693
"1601",102880,"1999",49,43
"1603",102880,"2004",787,519
"1607",102880,"2003",466,304
"1610",102880,"2005",306,234
"1611",102880,"2002",454,290
"1630",102882,"2005",418,335
