"","player_id","year","bp","bp_converted"
"1264",102783,"1998",64,20
"1265",102783,"2002",NA,NA
"1266",102783,"1995",9,2
"1267",102783,"2001",303,137
"1268",102783,"2008",212,88
"1269",102783,"1997",10,6
"1270",102783,"1998",116,49
"1271",102783,"2009",NA,NA
"1272",102783,"2011",41,21
"1273",102783,"2007",75,29
"1274",102783,"2005",NA,NA
"1275",102783,"1999",224,105
"1276",102783,"2008",80,28
"1277",102783,"1997",43,22
"1278",102783,"2005",135,43
"1279",102783,"2000",NA,NA
"1280",102783,"1999",NA,NA
"1281",102783,"2010",100,32
"1282",102783,"2010",NA,NA
"1283",102783,"2006",NA,NA
"1284",102783,"2001",199,69
"1285",102785,"2006",0,0
"1286",102785,"2004",33,14
"1287",102785,"2005",7,1
"1288",102785,"2002",7,2
"1289",102785,"2001",28,9
"1290",102785,"2005",13,6
"1291",102785,"2003",6,1
"1292",102785,"1998",13,1
"1293",102785,"1998",7,3
"1294",102785,"1996",10,3
"1295",102785,"2004",34,12
"1296",102785,"1997",11,6
"1297",102785,"2000",2,1
"1298",102785,"1997",16,4
"1299",102785,"2001",15,6
"1300",102788,"2007",1,0
"1301",102788,"2005",8,5
"1302",102788,"2003",60,15
"1303",102788,"2004",35,13
"1304",102788,"2001",54,33
"1305",102788,"2003",30,18
"1306",102788,"2005",10,4
"1307",102788,"2006",2,2
"1308",102788,"2002",94,40
"1309",102788,"2008",4,3
"1311",102788,"2008",0,0
"1313",102788,"2004",48,15
"1314",102788,"2007",6,3
"1315",102788,"2001",59,16
"1316",102800,"2005",4,1
"1317",102800,"2004",11,1
"1318",102800,"1998",NA,NA
"1319",102800,"2013",NA,NA
"1320",102800,"2004",NA,NA
"1321",102800,"2005",6,2
"1322",102800,"1999",17,6
"1323",102800,"1997",NA,NA
"1324",102800,"2007",0,0
"1325",102800,"2008",NA,NA
"1326",102800,"2001",NA,NA
"1327",102800,"2006",2,0
"1328",102800,"2002",NA,NA
"1329",102800,"1996",NA,NA
"1330",102800,"2017",NA,NA
"1331",102800,"2003",6,3
"1332",102800,"2003",9,4
"1333",102800,"1999",0,0
"1334",102800,"2001",12,4
"1336",102802,"2003",NA,NA
"1337",102802,"2002",NA,NA
"1338",102802,"2005",NA,NA
"1339",102811,"2004",NA,NA
"1340",102811,"2003",NA,NA
"1341",102811,"2006",9,3
"1342",102811,"1998",NA,NA
"1343",102811,"2007",23,8
"1344",102811,"2007",11,5
"1345",102811,"1996",NA,NA
"1346",102811,"2005",46,11
"1347",102811,"2005",7,4
"1348",102811,"2006",16,7
"1349",102811,"2001",NA,NA
"1350",102811,"2003",0,0
"1351",102811,"2002",NA,NA
"1352",102811,"2008",11,1
"1353",102811,"2008",13,4
"1354",102811,"1999",NA,NA
"1355",102812,"2001",NA,NA
"1356",102812,"1997",NA,NA
"1357",102812,"2005",NA,NA
"1358",102812,"2003",NA,NA
"1359",102812,"2000",NA,NA
"1360",102812,"2008",NA,NA
"1361",102812,"1998",NA,NA
"1362",102812,"1999",NA,NA
"1363",102821,"1997",40,16
"1364",102821,"2002",77,33
"1365",102821,"1996",15,7
"1366",102821,"2000",75,27
"1367",102821,"1998",5,4
"1368",102821,"2004",14,4
"1369",102821,"2010",NA,NA
"1370",102821,"2002",86,30
"1371",102821,"2008",NA,NA
"1372",102821,"1997",15,8
"1373",102821,"2009",NA,NA
"1374",102821,"1999",NA,NA
"1375",102821,"2004",13,5
"1376",102821,"2005",15,2
"1377",102821,"2005",6,4
"1378",102821,"1999",153,49
"1379",102821,"2003",61,26
"1380",102821,"2007",NA,NA
"1381",102821,"2001",102,35
"1382",102821,"2011",NA,NA
"1383",102821,"2003",26,9
"1384",102821,"2001",123,42
"1385",102821,"2000",47,22
"1386",102826,"2009",NA,NA
"1387",102826,"1994",NA,NA
"1388",102826,"1999",NA,NA
"1389",102826,"1993",NA,NA
"1390",102826,"1998",NA,NA
"1391",102826,"1995",NA,NA
"1392",102826,"2004",NA,NA
"1393",102830,"2000",NA,NA
"1394",102830,"1999",NA,NA
"1395",102830,"2001",NA,NA
"1396",102830,"2004",NA,NA
"1397",102830,"2010",NA,NA
"1398",102830,"2003",NA,NA
"1399",102834,"2003",34,19
"1400",102834,"1998",22,5
"1401",102834,"2000",208,99
"1402",102834,"2001",42,28
"1403",102834,"2005",108,52
"1404",102834,"2003",24,9
"1405",102834,"2002",9,2
"1406",102834,"1996",11,2
"1407",102834,"2006",100,37
"1408",102834,"2005",75,25
"1409",102834,"2004",40,18
"1410",102834,"2002",14,6
"1411",102834,"2006",153,73
"1412",102834,"2000",135,38
"1413",102834,"1995",6,4
"1414",102834,"1999",133,70
"1415",102834,"1999",115,45
"1416",102834,"2007",85,39
"1417",102834,"1998",11,4
"1418",102834,"1994",NA,NA
"1419",102834,"1993",5,1
"1420",102834,"2007",74,31
"1421",102834,"2004",22,8
"1422",102834,"2001",45,12
"1423",102839,"1996",NA,NA
"1428",102839,"1999",NA,NA
"1430",102839,"2005",NA,NA
"1431",102839,"2007",87,40
"1432",102839,"1994",NA,NA
"1438",102839,"2001",NA,NA
"1445",102839,"2009",91,32
"1450",102843,"1996",NA,NA
"1454",102843,"1999",NA,NA
"1462",102845,"1995",NA,NA
"1482",102845,"2002",NA,NA
"1484",102845,"2002",124,36
"1500",102854,"1997",NA,NA
"1501",102854,"1999",NA,NA
"1503",102854,"1998",NA,NA
"1504",102854,"1996",140,48
"1508",102854,"1996",NA,NA
"1510",102854,"2005",NA,NA
"1514",102854,"2003",NA,NA
"1516",102854,"1995",91,27
"1517",102856,"2005",NA,NA
"1518",102856,"2007",NA,NA
"1523",102856,"1996",46,13
"1524",102856,"1996",NA,NA
"1527",102856,"2008",8,2
"1530",102856,"2000",NA,NA
"1537",102860,"2000",NA,NA
"1544",102860,"2004",NA,NA
"1547",102860,"2005",109,34
"1550",102860,"2003",NA,NA
"1552",102863,"1995",NA,NA
"1553",102863,"1997",14,6
"1558",102863,"2005",NA,NA
"1559",102863,"2008",2,2
"1562",102863,"2001",NA,NA
"1566",102863,"1999",NA,NA
"1567",102863,"2006",3,1
