"","player_id","year","first_return","first_won"
"1710",102925,"2001",164,56
"1727",102925,"2004",234,60
"1728",102925,"1996",349,72
"1738",102928,"2004",NA,NA
"1739",102928,"2003",NA,NA
"1740",102945,"2005",53,8
"1741",102945,"2007",84,20
"1742",102950,"1996",151,47
"1743",102950,"2006",168,59
"1744",102950,"2007",212,43
"1747",102950,"2000",NA,NA
"1748",102950,"2002",1095,381
"1749",102950,"2009",26,8
"1751",102950,"2001",1090,362
"1752",102950,"2006",918,261
"1753",102950,"1999",NA,NA
"1754",102950,"1998",NA,NA
"1755",102950,"2008",54,18
"1756",102950,"2004",201,52
"1757",102950,"2003",894,285
"1758",102950,"2005",228,92
"1759",102950,"1996",160,73
"1760",102950,"1997",NA,NA
"1761",102950,"1997",608,206
"1762",102950,"2001",1194,328
"1763",102950,"2002",1311,337
"1764",102950,"1999",1216,476
"1765",102950,"1998",857,243
"1766",102956,"2000",39,12
"1767",102956,"2004",33,11
"1768",102956,"1998",NA,NA
"1769",102956,"1996",48,13
"1770",102956,"2002",36,11
"1771",102956,"1995",NA,NA
"1772",102956,"1998",22,2
"1773",102956,"2007",35,9
"1774",102956,"2006",13,1
"1776",102956,"2001",27,5
"1777",102959,"2002",NA,NA
"1778",102959,"1999",NA,NA
"1779",102959,"2004",NA,NA
"1780",102959,"1998",NA,NA
"1781",102959,"2005",NA,NA
"1783",102959,"2003",NA,NA
"1784",102959,"2008",NA,NA
"1785",102959,"2001",NA,NA
"1786",102959,"2007",NA,NA
"1787",102959,"2000",NA,NA
"1788",102963,"1999",33,9
"1789",102963,"2011",NA,NA
"1790",102963,"2007",NA,NA
"1791",102965,"1997",NA,NA
"1793",102965,"2001",136,41
"1794",102965,"2006",NA,NA
"1796",102965,"1999",75,27
"1797",102965,"2005",36,11
"1798",102965,"2004",91,22
"1799",102965,"2004",84,21
"1800",102965,"2003",142,31
"1801",102965,"2000",142,48
"1803",102965,"2005",129,30
"1804",102965,"2002",NA,NA
"1805",102965,"2001",346,76
"1806",102967,"2006",817,263
"1807",102967,"2009",879,305
"1808",102967,"2010",458,94
"1809",102967,"2012",69,25
"1810",102967,"2004",101,26
"1811",102967,"2014",74,22
"1813",102967,"2004",62,22
"1814",102967,"2010",201,74
"1815",102967,"2002",29,9
"1816",102967,"2005",130,46
"1817",102967,"2008",917,296
"1818",102967,"2009",1208,292
"1819",102967,"2013",191,31
"1821",102967,"2005",62,9
"1822",102967,"2006",575,122
"1824",102967,"2008",1105,284
"1831",102969,"2005",NA,NA
"1837",102987,"1998",33,8
"1842",102987,"1999",214,65
"1843",102987,"1997",54,21
"1845",102987,"1999",65,26
"1852",102987,"2004",37,7
"1872",102998,"2001",NA,NA
"1873",102999,"2008",61,29
"1874",102999,"2011",59,14
"1876",102999,"2002",NA,NA
"1879",102999,"2006",417,116
"1885",102999,"2008",89,21
"1892",103007,"1999",41,12
"1893",103007,"2002",50,11
"1897",103007,"1997",27,6
"1898",103007,"2001",NA,NA
"1899",103007,"2005",NA,NA
"1901",103009,"2000",32,9
"1902",103009,"1997",29,12
"1904",103009,"1993",NA,NA
"1905",103009,"2003",NA,NA
"1906",103009,"1998",54,11
"1907",103009,"2005",268,95
"1908",103009,"2002",44,9
"1909",103009,"1995",35,12
"1910",103009,"1997",157,40
"1911",103009,"2006",124,42
"1912",103009,"2000",NA,NA
"1913",103009,"2005",404,108
"1914",103009,"1999",39,7
"1915",103009,"1995",NA,NA
"1916",103009,"2006",NA,NA
"1917",103009,"1996",31,4
"1918",103009,"1996",52,22
"1919",103009,"1994",NA,NA
"1920",103017,"2000",1364,483
"1921",103017,"2004",NA,NA
"1922",103017,"2007",811,300
"1923",103017,"2001",NA,NA
"1924",103017,"2002",NA,NA
"1925",103017,"1999",NA,NA
"1926",103017,"2010",138,20
"1927",103017,"2009",659,163
"1928",103017,"1997",1179,334
"1929",103017,"2005",NA,NA
"1930",103017,"2003",614,135
"1931",103017,"2010",58,16
"1932",103017,"1994",25,4
"1933",103017,"2009",NA,NA
"1934",103017,"2003",810,265
"1935",103017,"2000",NA,NA
"1936",103017,"2007",NA,NA
"1937",103017,"1998",NA,NA
"1938",103017,"1995",110,25
"1939",103017,"2008",NA,NA
"1940",103017,"1996",NA,NA
"1941",103017,"1995",113,34
"1942",103017,"1997",575,140
"1943",103017,"2006",NA,NA
"1944",103018,"1998",NA,NA
"1945",103018,"2000",NA,NA
"1946",103018,"1999",NA,NA
"1947",103018,"1995",NA,NA
"1948",103018,"2007",538,177
"1949",103018,"2004",NA,NA
"1950",103018,"2005",NA,NA
"1951",103018,"1997",NA,NA
"1952",103018,"2002",NA,NA
"1953",103018,"1998",95,17
"1954",103018,"2008",NA,NA
"1955",103018,"2003",NA,NA
"1956",103018,"2001",NA,NA
"1957",103018,"1997",158,41
"1958",103018,"2006",NA,NA
"1959",103018,"2008",92,29
"1960",103018,"1996",NA,NA
"1961",103018,"2007",NA,NA
"1963",103029,"1995",31,8
"1964",103029,"1994",NA,NA
"1965",103029,"2001",21,2
"1966",103029,"2005",NA,NA
"1967",103029,"2000",33,6
"1968",103029,"1996",NA,NA
"1969",103029,"1998",NA,NA
"1970",103029,"2006",NA,NA
"1972",103029,"2003",28,8
"1973",103029,"2004",NA,NA
"1974",103032,"2005",61,24
"1975",103032,"2005",76,20
"1976",103035,"2010",20,3
"1977",103035,"2005",129,34
"1978",103035,"2006",603,150
"1979",103035,"2004",NA,NA
"1980",103035,"2010",63,29
"1981",103035,"2007",210,78
"1982",103035,"2006",343,126
"1983",103035,"2003",30,3
"1984",103035,"2004",160,48
"1986",103035,"2005",258,58
"1987",103043,"2011",NA,NA
"1988",103050,"2003",NA,NA
"1989",103050,"1998",NA,NA
"1991",103050,"2005",NA,NA
"1992",103050,"2007",NA,NA
"1993",103050,"2004",NA,NA
"1994",103053,"2006",NA,NA
"1995",103053,"2001",NA,NA
"1996",103053,"2005",NA,NA
"1998",103053,"2003",NA,NA
"1999",103053,"1999",NA,NA
"2000",103053,"2000",NA,NA
"2001",103053,"1998",40,15
"2002",103060,"1994",NA,NA
"2003",103060,"1999",NA,NA
"2005",103060,"1995",113,50
"2006",103060,"1995",68,15
"2007",103060,"2000",NA,NA
"2008",103060,"1998",NA,NA
"2009",103060,"1997",72,22
"2010",103060,"2002",NA,NA
"2011",103060,"2001",42,9
"2012",103060,"2005",NA,NA
"2013",103060,"2001",NA,NA
"2014",103060,"1996",NA,NA
"2015",103060,"2004",20,4
"2018",103063,"2009",266,73
"2019",103063,"2005",230,57
"2020",103063,"2004",171,53
"2022",103063,"2005",NA,NA
"2023",103063,"2002",90,40
"2024",103063,"2001",33,5
