"player_id","year","matches_won","total_matches"
102287,"1996",0,4
102287,"2002",10,33
102287,"2007",2,5
102287,"2006",8,20
102287,"1998",13,37
102287,"2005",2,8
102287,"2004",4,20
102287,"1999",14,32
102287,"1997",22,39
102300,"1998",5,9
102300,"1995",1,3
102300,"2004",4,8
102300,"1999",4,8
102300,"2002",3,7
102300,"1997",1,4
102300,"2005",0,4
102300,"2003",4,7
102300,"2000",4,9
102300,"2006",3,7
102300,"1996",0,1
102300,"2001",2,5
102300,"1994",0,1
102300,"1993",0,3
102306,"1999",5,18
102306,"2000",3,7
102306,"2007",0,2
102306,"2001",0,2
102306,"2002",7,22
102306,"1998",4,10
102306,"2005",2,4
102306,"2004",4,8
102306,"2003",0,1
102318,"2003",8,19
102318,"2002",41,67
102318,"1998",24,46
102318,"1996",6,10
102318,"2007",14,30
102318,"1995",2,5
102318,"2000",37,64
102318,"2006",16,37
102318,"1994",2,4
102318,"2004",34,59
102318,"2009",0,6
102318,"2001",33,62
102318,"1992",0,2
102318,"1999",30,55
102318,"1991",2,2
102318,"2005",22,48
102318,"1997",10,28
102318,"2008",0,4
102344,"1997",35,61
102344,"2004",11,26
102344,"2003",20,38
102344,"1993",1,4
102344,"1992",0,1
102344,"1998",53,82
102344,"2005",4,10
102344,"2001",15,31
102344,"1994",13,26
102344,"2000",28,52
102344,"2002",19,36
102344,"1996",26,52
102344,"1999",43,65
102344,"1991",1,2
102344,"1995",24,52
102358,"1993",18,41
102358,"1997",39,62
102358,"1999",48,76
102358,"1996",58,88
102358,"2001",35,58
102358,"1989",0,1
