"player_id","year","double_fault","service_points"
104978,"2013",NA,NA
104978,"2012",54,1359
104978,"2018",NA,NA
104978,"2009",39,1027
104978,"2008",22,341
104978,"2014",NA,NA
104978,"2016",30,589
104999,"2015",27,1244
104999,"2013",25,710
104999,"2017",166,5093
104999,"2021",NA,NA
104999,"2011",36,1502
104999,"2010",NA,NA
104999,"2016",53,1843
104999,"2012",NA,NA
104999,"2018",115,3523
104999,"2006",8,470
104999,"2008",NA,NA
104999,"2007",30,1249
104999,"2019",41,983
104999,"2009",75,3184
104999,"2020",8,170
105023,"2006",55,1346
105023,"2016",159,4187
105023,"2009",NA,NA
105023,"2022",66,1115
105023,"2011",84,2199
105023,"2018",173,3937
105023,"2013",NA,NA
105023,"2010",NA,NA
105023,"2017",NA,NA
105023,"2007",136,3343
105023,"2014",NA,NA
105023,"2012",NA,NA
105023,"2008",NA,NA
105023,"2019",162,3325
105023,"2021",NA,NA
105023,"2020",32,786
105023,"2015",158,3404
105028,"2013",103,1669
105028,"2008",NA,NA
105028,"2010",22,443
105028,"2011",NA,NA
105028,"2006",NA,NA
105028,"2007",18,274
105028,"2012",72,2002
105028,"2009",101,1247
105032,"2015",NA,NA
105032,"2016",112,1547
105032,"2008",12,176
105032,"2009",25,280
105032,"2014",NA,NA
105032,"2013",30,539
105032,"2017",44,602
105051,"2016",NA,NA
105051,"2012",NA,NA
105051,"2013",NA,NA
105051,"2024",NA,NA
105051,"2017",70,1187
105051,"2021",36,756
105051,"2019",125,1681
105051,"2010",3,201
105051,"2014",153,1836
105051,"2022",NA,NA
105051,"2011",54,1435
105051,"2015",35,676
105051,"2018",217,3330
105065,"2017",17,591
105065,"2015",47,1375
105065,"2014",56,1398
105065,"2010",12,429
105065,"2012",24,713
105065,"2016",48,1519
105065,"2018",59,1611
105065,"2013",47,1787
105065,"2011",21,767
105065,"2008",NA,NA
105065,"2019",9,251
105077,"2017",170,5721
105077,"2018",144,3980
105077,"2021",118,4016
105077,"2011",87,2326
105077,"2016",177,5332
105077,"2012",NA,NA
105077,"2020",62,1987
105077,"2023",78,3320
105077,"2024",22,809
105077,"2022",NA,NA
105077,"2015",84,2899
105077,"2010",11,486
105077,"2019",96,3767
105077,"2013",NA,NA
105077,"2014",61,2336
105113,"2017",7,253
105113,"2012",5,108
105113,"2014",NA,NA
105128,"2011",11,183
105128,"2013",8,194
105137,"2007",4,122
105137,"2015",NA,NA
105137,"2016",NA,NA
105137,"2010",59,1676
105137,"2012",28,548
105137,"2013",NA,NA
105137,"2011",114,2367
105137,"2009",9,384
105137,"2014",NA,NA
105154,"2010",9,348
105154,"2014",4,304
105154,"2017",13,249
105154,"2015",NA,NA
105154,"2016",6,204
105154,"2013",8,275
105154,"2011",43,1089
105154,"2012",NA,NA
105173,"2015",NA,NA
105173,"2014",100,3060
105173,"2023",NA,NA
105173,"2022",NA,NA
105173,"2020",91,2537
105173,"2016",169,4157
105173,"2008",14,418
105173,"2011",105,3187
105173,"2019",113,3887
105173,"2021",105,2997
105173,"2024",NA,NA
105173,"2010",17,546
105173,"2018",152,4621
105173,"2017",143,4667
105173,"2013",65,2126
105173,"2009",NA,NA
105173,"2012",21,510
105181,"2017",5,219
105332,"2014",120,2398
105332,"2016",256,4738
105332,"2010",30,611
105332,"2024",36,436
105332,"2023",NA,NA
105332,"2018",329,4881
105332,"2013",224,4829
105332,"2019",394,5004
105332,"2011",54,1275
105332,"2012",257,4706
105332,"2020",151,2058
105332,"2021",324,3424
105332,"2017",287,4786
105332,"2015",166,3502
105332,"2022",202,2336
105357,"2016",68,3450
105357,"2019",83,3772
105357,"2010",NA,NA
105357,"2011",NA,NA
105357,"2022",39,2150
105357,"2023",9,413
105357,"2015",25,1108
105357,"2012",12,197
105357,"2018",92,3312
105357,"2017",15,914
105357,"2020",72,2837
105357,"2013",14,349
105357,"2021",NA,NA
105359,"2017",NA,NA
105359,"2022",NA,NA
105359,"2023",7,185
105359,"2018",20,443
105359,"2021",16,352
105359,"2020",17,678
105359,"2019",NA,NA
105376,"2010",NA,NA
105376,"2018",162,3624
105376,"2019",121,2380
105376,"2012",NA,NA
