"","player_id","year","matches_won","total_matches"
"750",102287,"2007",2,5
"751",102287,"2000",22,45
"752",102287,"2001",32,61
"753",102287,"2004",4,20
"754",102287,"2003",9,28
"755",102287,"1996",0,4
"756",102287,"1997",22,39
"757",102287,"2006",8,20
"758",102287,"2005",2,8
"759",102287,"1999",14,32
"760",102287,"1995",4,7
"761",102287,"1998",13,37
"762",102300,"1996",0,1
"763",102300,"2006",3,7
"764",102300,"2001",2,5
"765",102300,"2002",3,7
"766",102300,"2000",4,9
"767",102300,"2004",4,8
"768",102300,"1993",0,3
"769",102300,"2003",4,7
"770",102300,"1997",1,4
"771",102300,"1998",5,9
"772",102300,"1999",4,8
"773",102300,"1994",0,1
"774",102300,"1995",1,3
"775",102300,"2005",0,4
"776",102306,"2003",0,1
"777",102306,"2002",7,22
"778",102306,"2005",2,4
"779",102306,"2007",0,2
"780",102306,"2004",4,8
"781",102306,"2000",3,7
"782",102306,"1999",5,18
"783",102306,"2001",0,2
"784",102306,"1998",4,10
"785",102318,"1998",24,46
"786",102318,"2005",22,48
"787",102318,"2003",8,19
"788",102318,"1995",2,5
"789",102318,"1997",10,28
"790",102318,"2009",0,6
"791",102318,"2000",37,64
"792",102318,"1991",2,2
"793",102318,"2002",41,67
"794",102318,"1992",0,2
"795",102318,"1999",30,55
"796",102318,"1994",2,4
"797",102318,"2006",16,37
"798",102318,"2004",34,59
"799",102318,"2001",33,62
"800",102318,"1996",6,10
"801",102318,"2008",0,4
"802",102318,"2007",14,30
"803",102344,"1996",26,52
"804",102344,"2002",19,36
"805",102344,"1998",53,82
"806",102344,"1995",24,52
"807",102344,"2004",11,26
"808",102344,"2000",28,52
"809",102344,"1991",1,2
"810",102344,"1993",1,4
"811",102344,"2003",20,38
"812",102344,"2005",4,10
"813",102344,"1994",13,26
"814",102344,"2001",15,31
"815",102344,"1992",0,1
"816",102344,"1997",35,61
"817",102344,"1999",43,65
"818",102358,"2003",13,39
"819",102358,"2001",35,58
"820",102358,"2005",7,19
"821",102358,"2004",14,35
