"","player_id","name_first","name_last","hand","dob","ioc","height"
"16899",104233,"Frederik","Nielsen","R",19830827,"DEN",190
"16924",104234,"Predrag","Rusevski","R",19830827,"MKD",NA
"16930",104235,"Matwe","Middelkoop","R",19830903,"NED",191
"16932",104236,"Rouzbeh","Kamran","U",19830903,"IRI",NA
"16933",104247,"Sebo","Kiss","U",19830920,"HUN",NA
"16942",104249,"Marcelo","Melo","R",19830923,"BRA",203
"16943",104250,"Prakash","Amritraj","R",19831002,"IND",188
"16960",104251,"Ti","Chen","R",19831003,"TPE",183
"16972",104252,"Florian","Mayer","R",19831005,"GER",190
"17197",104256,"Clement","Reix","U",19831009,"FRA",NA
"17198",104259,"Philipp","Kohlschreiber","R",19831016,"GER",178
"17673",104260,"Johny","De Leon","R",19831017,"ECU",NA
"17674",104261,"Peng","Sun","R",19831019,"CHN",NA
"17682",104262,"Flavio","Cipolla","R",19831020,"ITA",173
"17718",104268,"Alejandro","Falla","L",19831114,"COL",185
"17825",104269,"Fernando","Verdasco","L",19831115,"ESP",188
"18345",104273,"Edouard","Roger-Vasselin","R",19831128,"FRA",185
"18428",104281,"Ryler","Deheart","L",19840103,"USA",183
"18429",104283,"Minh Quan","Do","R",19840107,"VIE",NA
"18430",104291,"Malek","Jaziri","R",19840120,"TUN",185
"18526",104292,"Izak","Van Der Merwe","R",19840126,"RSA",196
"18542",104297,"Rogerio","Dutra Silva","R",19840203,"BRA",178
"18572",104299,"Hiu Tung","Yu","L",19840205,"HKG",NA
"18581",104305,"Luka","Gregorc","R",19840214,"SLO",NA
"18590",104308,"Michal","Przysiezny","R",19840216,"POL",185
"18621",104311,"Leonardo","Tavares","R",19840220,"POR",185
"18626",104312,"Andreas","Seppi","R",19840221,"ITA",190
"19007",104314,"Brian","Dabul","L",19840224,"ARG",170
"19022",104323,"Photos","Kallias","L",19840306,"CYP",NA
"19023",104327,"Steve","Darcis","R",19840313,"BEL",178
"19142",104330,"Rajeev","Ram","R",19840318,"USA",193
"19197",104332,"Philipp","Petzschner","R",19840324,"GER",185
"19283",104338,"Juan","Monaco","R",19840329,"ARG",185
"19610",104339,"Mario","Ancic","R",19840330,"CRO",196
"19769",104342,"Matias","Silva","R",19840331,"PER",NA
"19772",104349,"Rui","Machado","R",19840410,"POR",178
"19801",104352,"Colin","Obrien","L",19840417,"IRL",NA
"19805",104360,"Adam","Chadaj","L",19840501,"POL",178
"19808",104368,"Daniel","King Turner","R",19840515,"NZL",190
"19824",104371,"Ivo","Minar","R",19840521,"CZE",183
"19858",104372,"Alex","Bogdanovic","L",19840522,"GBR",183
"19865",104377,"Theodoros","Angelinos","U",19840529,"GRE",NA
"19866",104378,"Yordan","Kanev","R",19840531,"BUL",NA
"19867",104383,"Diogo","Rocha","R",19840614,"POR",NA
"19868",104386,"Janko","Tipsarevic","R",19840622,"SRB",180
"20143",104392,"Franco","Ferreiro","R",19840701,"BRA",188
"20146",104395,"Marcel","Felder","R",19840709,"URU",174
"20164",104397,"Laurent","Recouderc","R",19840710,"FRA",178
"20167",104402,"Clement","Morel","R",19840716,"MON",NA
"20168",104415,"Colin","Fleming","R",19840813,"GBR",188
"20169",104417,"Robin","Soderling","R",19840814,"SWE",193
"20436",104421,"Martin","Vilarrubi","R",19840902,"URU",NA
"20439",104424,"Go","Soeda","R",19840905,"JPN",178
"20495",104433,"Frank","Dancevic","R",19840926,"CAN",185
"20559",104453,"Michael","Ryderstedt","L",19841112,"SWE",188
"20564",104454,"Murad","Inoyatov","R",19841113,"UZB",NA
"20566",104460,"Dustin","Brown","R",19841208,"JAM",196
"20628",104463,"Dmitriy","Makeyev","U",19841213,"KAZ",NA
"20630",104467,"Lamine","Ouahab","R",19841222,"ALG",185
"20649",104468,"Gilles","Simon","R",19841227,"FRA",183
"21157",104470,"Komlavi","Loglo","R",19841230,"TOG",183
"21158",104471,"Ivan","Dodig","R",19850102,"CRO",183
"21276",104476,"Louk","Sorensen","R",19850107,"IRL",175
"21281",104477,"Jorge","Aguilar","R",19850108,"CHI",178
"21286",104479,"Sarvar","Ikramov","R",19850110,"UZB",NA
