"player_id","name_first","name_last","hand","dob","ioc","height","Rating","Deviation","Volatility"
103598,"Xavier","Malisse","R",19800719,"BEL",185,1736.05155856966,71.7815517795683,0.0597443293272083
103600,"Mohammad","Ghareeb","R",19800722,"KUW",NA,1637.37550284717,167.354520454429,0.0599818650262356
103602,"Fernando","Gonzalez","R",19800729,"CHI",183,1773.36153454502,93.2922849662983,0.0599657035931681
103607,"Victor","Estrella","R",19800802,"DOM",173,1559.08965136264,94.7700960010961,0.0600878295225898
103612,"Alexey","Kedryuk","R",19800808,"KAZ",193,1616.95799878797,150.472800418729,0.0600158627834554
103630,"Martijn","Van Haasteren","R",19800912,"AHO",NA,1314.12370536176,181.857034523604,0.060003396282358
103632,"Luis","Horna","R",19800914,"PER",180,1681.01311273382,105.888349231209,0.0600061674056801
103638,"Jhonson","Garcia","R",19801001,"DOM",NA,1595.12350374238,160.285476265361,0.0599992012223411
103656,"Albert","Montanes","R",19801126,"ESP",175,1699.11788885245,98.1127918310258,0.0599902665261934
103657,"Ivo","Klec","R",19801128,"SVK",183,1414.65692511412,204.305701897989,0.0599926171454141
103666,"Ilia","Kushev","R",19801213,"BUL",NA,1549.57522991379,168.252593603347,0.0599926182074233
103668,"Lazar","Magdincev","R",19801215,"MKD",NA,1468.14408698103,145.059859000923,0.060003183584745
103672,"Ricardo","Mello","L",19801221,"BRA",175,1538.48303293407,116.061110820582,0.0599706854789113
103675,"Diego","Junqueira","L",19801228,"ARG",178,1551.49341693676,110.081565577799,0.0599788847617496
103676,"Michael","Yani","R",19801231,"USA",185,1610.93851639217,146.399533772178,0.0600282150292289
103682,"Kyu Tae","Im","R",19810106,"KOR",185,1516.45866979883,175.586595658481,0.0599983717551501
103690,"Marcin","Matkowski","R",19810115,"POL",188,1474.17680001981,239.420812194637,0.0599955322301754
103693,"Thierry","Ascione","R",19810117,"FRA",188,1465.15135077469,131.06942504045,0.0599501292671096
103694,"Olivier","Rochus","R",19810118,"BEL",168,1681.93932921081,99.4169204470835,0.059796408337323
103700,"Juan Pablo","Guzman","L",19810129,"ARG",178,1501.54129781136,118.721339550971,0.0599919059980288
103701,"Diego","Hartfield","R",19810131,"ARG",185,1676.53665319619,82.9163098172558,0.0599866298593961
103702,"Stefano","Ianni","R",19810131,"ITA",NA,1699.17603635785,246.884762362041,0.0599993817821778
103708,"Jaroslav","Pospisil","R",19810209,"CZE",175,1529.34093872034,231.047748640112,0.0600016085346692
103709,"Kristian","Pless","R",19810209,"DEN",188,1470.81445622678,170.616454851049,0.059911338392274
103714,"Andreas","Vinciguerra","L",19810219,"SWE",180,1513.19948864972,161.276495907108,0.0600236695715345
103716,"Uros","Vico","R",19810219,"ITA",188,1620.37682011423,168.634092006761,0.0599961274074296
103720,"Lleyton","Hewitt","R",19810224,"AUS",180,1730.98399859574,90.4189149241329,0.0599626552891912
103722,"Florent","Serra","R",19810228,"FRA",180,1599.28361786527,136.140329844804,0.0598518386534739
103726,"Jean Christophe","Faurel","R",19810306,"FRA",175,1589.26008511207,142.34246588382,0.0599979009655548
103730,"Jonathan","Marray","R",19810310,"GBR",183,1575.71165363711,161.030053310462,0.0599969019793197
103735,"Lovro","Zovko","R",19810318,"CRO",190,1611.53037031913,159.374842411159,0.0599924984656674
103737,"Edgardo","Massa","R",19810322,"ARG",180,1641.37099236837,106.890727089704,0.0600093805028258
103739,"Jose","De Armas","R",19810325,"VEN",NA,1635.88260789276,163.831726810482,0.0599845888338426
103746,"Miguel","Gallardo Valles","R",19810408,"MEX",NA,1546.66302123462,159.88807579037,0.0599942115521465
103747,"Dominik","Meffert","R",19810409,"GER",198,1664.26301700602,159.068821859947,0.0599875808942084
103752,"Simon","Greul","R",19810413,"GER",185,1732.33165463485,86.3041841167914,0.0600055810060105
103758,"Taylor","Dent","R",19810424,"USA",188,1768.92859268105,80.3712349330232,0.0600504232440394
103761,"Tomas","Cakl","R",19810425,"CZE",178,1546.83220452888,154.182795977068,0.0600015967061164
103763,"Martin","Slanar","R",19810501,"AUT",NA,1616.26976004348,227.538858616277,0.05999872902494
103770,"Kevin","Sorensen","R",19810510,"IRL",183,1488.87265419184,174.788265669102,0.0599943806422615
103781,"Jurgen","Melzer","L",19810522,"AUT",183,1826.03080421116,125.82441646418,0.0600787918152381
103786,"Nikolay","Davydenko","R",19810602,"RUS",178,1738.57500040866,78.8690737372076,0.0603297557215638
103789,"Irakli","Labadze","L",19810609,"GEO",188,1695.39309296652,143.650696274743,0.0601102797999651
103794,"Benjamin","Becker","R",19810616,"GER",178,1614.98642499243,83.8863225431829,0.0599733877636079
103803,"Ashkan","Shokoofi","U",19810709,"IRI",NA,1381.19408235233,156.063695503718,0.0599965533180365
103808,"Potito","Starace","R",19810714,"ITA",188,1672.03455768635,124.653992433989,0.0598692663635722
103812,"Victor","Hanescu","R",19810721,"ROU",198,1720.9693854437,89.8361208028112,0.0598552137837152
103813,"Jarkko","Nieminen","L",19810723,"FIN",185,1750.35188583711,97.6335411408905,0.0596058909163701
103817,"Yu Jr","Wang","L",19810801,"CHN",NA,1405.59011644184,123.501524609316,0.0599974689773845
103819,"Roger","Federer","R",19810808,"SUI",185,2064.05451286871,84.3185097510924,0.0598287777313745
103820,"Alan","Mackin","R",19810811,"GBR",183,1318.46311664625,191.642474293795,0.0599931387692838
103821,"Danai","Udomchoke","R",19810811,"THA",173,1567.16682948362,140.087874291593,0.0599750385957184
103823,"Denis","Gremelmayr","L",19810816,"GER",183,1623.34899565639,109.263683794924,0.0600605341189905
103824,"Orest","Tereshchuk","R",19810818,"UKR",NA,1756.22453138402,142.014524720866,0.059999351620548
103826,"Carlos","Palencia","R",19810822,"MEX",NA,1588.97447655554,211.059899029073,0.0599985106541784
103828,"Jean Julien","Rojer","R",19810825,"NED",185,1943.25132139062,186.143361029193,0.0599961006199485
103829,"Cristian","Paiz","U",19810828,"GUA",NA,1330.97937725326,211.450572071499,0.0599950504084174
103830,"Shao Xuan","Zeng","R",19810829,"CHN",185,1555.94949372549,145.038203687921,0.0600067844307569
